path,legacy_urls,clicks,impressions,best_position,index_status,new_destination_301,revised_destination,decision_changed,priority,launch_bucket
/the-importance-of-regular-sewer-maintenance-protecting-your-homes-plumbing/,https://zandzplumbing.com/the-importance-of-regular-sewer-maintenance-protecting-your-homes-plumbing/,1,227,26.95,INDEXED,/blog/the-importance-of-regular-sewer-maintenance-protecting-your-homes-plumbing/,/blog/the-importance-of-regular-sewer-maintenance-protecting-your-homes-plumbing/,False,P2,A2 · Migrate (301 to new-site URL)
/plumbing-services/pipe-repair-installation/,https://zandzplumbing.com/plumbing-services/pipe-repair-installation/,1,1882,48.66,INDEXED,/pipe-repair/,/pipe-repair/,False,P2,A2 · Migrate (301 to new-site URL)
/water-leak-detection-in-oakland/,https://zandzplumbing.com/water-leak-detection-in-oakland/,1,433,11.86,INDEXED,/blog/water-leak-detection-in-oakland/,/leak-detection-oakland/,False,P2,A2 · Migrate (301 to new-site URL)
/plumbing-services/toilet-repair-replacement/,https://zandzplumbing.com/plumbing-services/toilet-repair-replacement/,1,2900,73.41,INDEXED,/toilet-repair/,/toilet-repair/,False,P2,A2 · Migrate (301 to new-site URL)
/plumbing-services/water-line-repairs/,https://zandzplumbing.com/plumbing-services/water-line-repairs/,0,2241,61.01,INDEXED,/water-line-repair/,/water-line-repair/,False,P2,A2 · Migrate (301 to new-site URL)
/plumbing-services/garbage-disposal-repair/,https://zandzplumbing.com/plumbing-services/garbage-disposal-repair/,0,6503,60.91,INDEXED,/garbage-disposal/,/garbage-disposal/,False,P2,A2 · Migrate (301 to new-site URL)
/plumbing-services/gas-line-services/,https://zandzplumbing.com/plumbing-services/gas-line-services/,0,955,54.3,INDEXED,/gas-line-services/,/gas-line-services/,False,P2,A2 · Migrate (301 to new-site URL)
/plumbing-services/leak-detection/,https://zandzplumbing.com/plumbing-services/leak-detection/,0,2006,53.77,INDEXED,/leak-detection/,/leak-detection/,False,P2,A2 · Migrate (301 to new-site URL)
/wp-content/uploads/2022/06/Z-and-Z-Plumbing-Logo.jpg,http://zandzplumbing.com/wp-content/uploads/2022/06/Z-and-Z-Plumbing-Logo.jpg,0,2,22.0,UNKNOWN,/blog/wp-content/uploads/2022/06/z-and-z-plumbing-logo.jpg/,BLOCK_ROBOTS,True,P2,C · Block (robots/canonical)
/wp-content/uploads/2021/12/zandzplumbers-1024x522.jpg,http://zandzplumbing.com/wp-content/uploads/2021/12/zandzplumbers-1024x522.jpg,0,1,26.0,UNKNOWN,/blog/wp-content/uploads/2021/12/zandzplumbers-1024x522.jpg/,BLOCK_ROBOTS,True,P2,C · Block (robots/canonical)
/wp-content/uploads/2020/10/water-line-repair.jpg,http://zandzplumbing.com/wp-content/uploads/2020/10/water-line-repair.jpg,0,1,20.0,UNKNOWN,/blog/wp-content/uploads/2020/10/water-line-repair.jpg/,BLOCK_ROBOTS,True,P2,C · Block (robots/canonical)
/wp-content/uploads/2020/09/logo-1.png,http://zandzplumbing.com/wp-content/uploads/2020/09/logo-1.png,0,2,20.5,UNKNOWN,/blog/wp-content/uploads/2020/09/logo-1.png/,BLOCK_ROBOTS,True,P2,C · Block (robots/canonical)
/unclog-a-clogged-drain/,https://zandzplumbing.com/unclog-a-clogged-drain/,0,131,10.97,INDEXED,/blog/unclog-a-clogged-drain/,/blog/unclog-a-clogged-drain/,False,P2,A2 · Migrate (301 to new-site URL)
/prevent-clogged-drains-5-household-items-that-should-never-go-down-the-drain/,https://zandzplumbing.com/prevent-clogged-drains-5-household-items-that-should-never-go-down-the-drain/,0,95,13.34,INDEXED,/blog/prevent-clogged-drains-5-household-items-that-should-never-go-down-the-drain/,/blog/prevent-clogged-drains-5-household-items-that-should-never-go-down-the-drain/,False,P2,A2 · Migrate (301 to new-site URL)
/top-10-common-plumbing-problems-and-how-to-prevent-them/,https://zandzplumbing.com/top-10-common-plumbing-problems-and-how-to-prevent-them/,0,4,7.25,INDEXED,/blog/top-10-common-plumbing-problems-and-how-to-prevent-them/,/blog/top-10-common-plumbing-problems-and-how-to-prevent-them/,False,P2,A2 · Migrate (301 to new-site URL)
/privacy-policy/,https://zandzplumbing.com/privacy-policy/,0,17,9.24,INDEXED,/privacy-policy/,/privacy-policy/,False,P2,A2 · Migrate (301 to new-site URL)
/replace-your-toilet/,https://zandzplumbing.com/replace-your-toilet/,0,3,13.0,CRAWLED_NOT_INDEXED,/blog/replace-your-toilet/,/blog/,True,P2,B · Retire to /blog/
/replacing-your-pipes/,https://zandzplumbing.com/replacing-your-pipes/,0,111,31.88,DISCOVERED_NOT_INDEXED,/blog/replacing-your-pipes/,/blog/,False,P2,B · Retire to /blog/
/san-leandro-slab-leak-repair/,https://zandzplumbing.com/san-leandro-slab-leak-repair/,0,163,12.36,INDEXED,/blog/san-leandro-slab-leak-repair/,/slab-leak-san-leandro/,False,P2,A2 · Migrate (301 to new-site URL)
/plumbing-services/financing/,https://zandzplumbing.com/plumbing-services/financing/,0,11781,9.87,INDEXED,/financing/,/financing/,False,P2,A2 · Migrate (301 to new-site URL)
/the-importance-of-sewer-line-repair/,https://zandzplumbing.com/the-importance-of-sewer-line-repair/,0,21,13.0,CRAWLED_NOT_INDEXED,/blog/the-importance-of-sewer-line-repair/,/blog/,True,P2,B · Retire to /blog/
/understanding-the-basics-of-your-homes-plumbing-system/,https://zandzplumbing.com/understanding-the-basics-of-your-homes-plumbing-system/,0,65,25.43,INDEXED,/blog/understanding-the-basics-of-your-homes-plumbing-system/,/blog/understanding-the-basics-of-your-homes-plumbing-system/,False,P2,A2 · Migrate (301 to new-site URL)
/the-top-10-plumbing-system-tips-for-homeowners/,https://zandzplumbing.com/the-top-10-plumbing-system-tips-for-homeowners/,0,5,5.0,CRAWLED_NOT_INDEXED,/blog/the-top-10-plumbing-system-tips-for-homeowners/,/blog/,True,P2,B · Retire to /blog/
/the-ultimate-guide-to-hiring-a-reliable-plumber-in-your-area/,https://zandzplumbing.com/the-ultimate-guide-to-hiring-a-reliable-plumber-in-your-area/,0,231,35.55,INDEXED,/blog/the-ultimate-guide-to-hiring-a-reliable-plumber-in-your-area/,/blog/the-ultimate-guide-to-hiring-a-reliable-plumber-in-your-area/,False,P2,A2 · Migrate (301 to new-site URL)
/the-importance-of-regular-plumbing-maintenance-for-your-home/,https://zandzplumbing.com/the-importance-of-regular-plumbing-maintenance-for-your-home/,0,3,7.67,CRAWLED_NOT_INDEXED,/blog/the-importance-of-regular-plumbing-maintenance-for-your-home/,/blog/,True,P2,B · Retire to /blog/
/10-common-plumbing-problems-and-how-to-fix-them-a-comprehensive-guide/,https://zandzplumbing.com/10-common-plumbing-problems-and-how-to-fix-them-a-comprehensive-guide/,0,3950,71.14,INDEXED,/blog/10-common-plumbing-problems-and-how-to-fix-them-a-comprehensive-guide/,/blog/10-common-plumbing-problems-and-how-to-fix-them-a-comprehensive-guide/,False,P2,A2 · Migrate (301 to new-site URL)
/plumbing-services/faucet-installation-and-repair/,https://zandzplumbing.com/plumbing-services/faucet-installation-and-repair/,0,5905,68.21,INDEXED,/faucet-services/,/faucet-services/,False,P2,A2 · Migrate (301 to new-site URL)
/5-signs-its-time-for-a-toilet-replacement/,https://zandzplumbing.com/5-signs-its-time-for-a-toilet-replacement/,0,13,4.62,CRAWLED_NOT_INDEXED,/blog/5-signs-its-time-for-a-toilet-replacement/,/blog/,True,P2,B · Retire to /blog/
/a-comprehensive-guide-to-understanding-your-homes-plumbing/,https://zandzplumbing.com/a-comprehensive-guide-to-understanding-your-homes-plumbing/,0,2,9.5,DISCOVERED_NOT_INDEXED,/blog/a-comprehensive-guide-to-understanding-your-homes-plumbing/,/blog/,False,P2,B · Retire to /blog/
/5-simple-ways-to-detect-water-leaks-in-your-home/,https://zandzplumbing.com/5-simple-ways-to-detect-water-leaks-in-your-home/,0,4,6.0,CRAWLED_NOT_INDEXED,/blog/5-simple-ways-to-detect-water-leaks-in-your-home/,/blog/,True,P2,B · Retire to /blog/
/5-signs-your-water-heater-needs-to-be-repaired-or-replaced/,https://zandzplumbing.com/5-signs-your-water-heater-needs-to-be-repaired-or-replaced/,0,4,3.75,INDEXED,/blog/5-signs-your-water-heater-needs-to-be-repaired-or-replaced/,/blog/5-signs-your-water-heater-needs-to-be-repaired-or-replaced/,False,P2,A2 · Migrate (301 to new-site URL)
/5-signs-your-sewer-needs-repair-dont-ignore-these-warning-signals/,https://zandzplumbing.com/5-signs-your-sewer-needs-repair-dont-ignore-these-warning-signals/,0,4,11.25,INDEXED,/blog/5-signs-your-sewer-needs-repair-dont-ignore-these-warning-signals/,/blog/5-signs-your-sewer-needs-repair-dont-ignore-these-warning-signals/,False,P2,A2 · Migrate (301 to new-site URL)
/5-signs-you-may-have-plumbing-leaks/,https://zandzplumbing.com/5-signs-you-may-have-plumbing-leaks/,0,14,24.86,INDEXED,/blog/5-signs-you-may-have-plumbing-leaks/,/blog/5-signs-you-may-have-plumbing-leaks/,False,P2,A2 · Migrate (301 to new-site URL)
/5-signs-its-time-to-replace-your-water-heater/,https://zandzplumbing.com/5-signs-its-time-to-replace-your-water-heater/,0,3,13.67,CRAWLED_NOT_INDEXED,/blog/5-signs-its-time-to-replace-your-water-heater/,/blog/,True,P2,B · Retire to /blog/
/5-reasons-you-should-hire-a-plumber-for-water-heater-replacements/,https://zandzplumbing.com/5-reasons-you-should-hire-a-plumber-for-water-heater-replacements/,0,14,6.86,CRAWLED_NOT_INDEXED,/blog/5-reasons-you-should-hire-a-plumber-for-water-heater-replacements/,/blog/,True,P2,B · Retire to /blog/
/3-ways-to-improve-your-sinks-flow-and-prevent-clogged-drains/,https://zandzplumbing.com/3-ways-to-improve-your-sinks-flow-and-prevent-clogged-drains/,0,263,11.35,INDEXED,/blog/3-ways-to-improve-your-sinks-flow-and-prevent-clogged-drains/,/blog/3-ways-to-improve-your-sinks-flow-and-prevent-clogged-drains/,False,P2,A2 · Migrate (301 to new-site URL)
/5-plumbing-tips-for-the-spring-from-your-local-plumber/,https://zandzplumbing.com/5-plumbing-tips-for-the-spring-from-your-local-plumber/,0,2,6.5,INDEXED,/blog/5-plumbing-tips-for-the-spring-from-your-local-plumber/,/blog/5-plumbing-tips-for-the-spring-from-your-local-plumber/,False,P2,A2 · Migrate (301 to new-site URL)
/5-plumbing-problems-that-require-a-professional-plumber/,https://zandzplumbing.com/5-plumbing-problems-that-require-a-professional-plumber/,0,2,10.0,DISCOVERED_NOT_INDEXED,/blog/5-plumbing-problems-that-require-a-professional-plumber/,/blog/,False,P2,B · Retire to /blog/
/5-most-common-causes-of-a-leaky-faucet/,https://zandzplumbing.com/5-most-common-causes-of-a-leaky-faucet/,0,5,15.2,INDEXED,/blog/5-most-common-causes-of-a-leaky-faucet/,/blog/5-most-common-causes-of-a-leaky-faucet/,False,P2,A2 · Migrate (301 to new-site URL)
/5-critical-plumbing-problems-and-how-to-fix-them/,https://zandzplumbing.com/5-critical-plumbing-problems-and-how-to-fix-them/,0,11,9.55,DISCOVERED_NOT_INDEXED,/blog/5-critical-plumbing-problems-and-how-to-fix-them/,/blog/,False,P2,B · Retire to /blog/
/5-common-plumbing-problems-and-how-to-fix-them-before-they-get-worse/,https://zandzplumbing.com/5-common-plumbing-problems-and-how-to-fix-them-before-they-get-worse/,0,21,15.57,CRAWLED_NOT_INDEXED,/blog/5-common-plumbing-problems-and-how-to-fix-them-before-they-get-worse/,/blog/,True,P2,B · Retire to /blog/
/5-common-causes-of-sewer-backups/,https://zandzplumbing.com/5-common-causes-of-sewer-backups/,0,8,23.0,CRAWLED_NOT_INDEXED,/blog/5-common-causes-of-sewer-backups/,/blog/,True,P2,B · Retire to /blog/
/category/plumber-blog/page/2/,https://zandzplumbing.com/category/plumber-blog/page/2/,0,34,8.74,CRAWLED_NOT_INDEXED,/blog/,/blog/,False,P2,B · Retire to /blog/
/category/plumber-blog/page/3/,https://zandzplumbing.com/category/plumber-blog/page/3/,0,1,7.0,INDEXED,/blog/,/blog/,False,P2,B · Retire to /blog/
/category/plumber-blog/page/4/,https://zandzplumbing.com/category/plumber-blog/page/4/,0,6,7.0,INDEXED,/blog/,/blog/,False,P2,B · Retire to /blog/
/category/plumber-blog/page/5/,https://zandzplumbing.com/category/plumber-blog/page/5/,0,8,9.12,INDEXED,/blog/,/blog/,False,P2,B · Retire to /blog/
/category/plumber-blog/page/6/,https://zandzplumbing.com/category/plumber-blog/page/6/,0,6,7.33,CRAWLED_NOT_INDEXED,/blog/,/blog/,False,P2,B · Retire to /blog/
/clear-clogged-drains-in-your-home/,https://zandzplumbing.com/clear-clogged-drains-in-your-home/,0,3,6.0,DISCOVERED_NOT_INDEXED,/blog/clear-clogged-drains-in-your-home/,/blog/,False,P2,B · Retire to /blog/
/common-plumbing-repairs-every-homeowner-should-know-about/,https://zandzplumbing.com/common-plumbing-repairs-every-homeowner-should-know-about/,0,3,6.67,CRAWLED_NOT_INDEXED,/blog/common-plumbing-repairs-every-homeowner-should-know-about/,/blog/,True,P2,B · Retire to /blog/
/diy-plumbing-fixes-for-common-household-problems/,https://zandzplumbing.com/diy-plumbing-fixes-for-common-household-problems/,0,10,6.6,CRAWLED_NOT_INDEXED,/blog/diy-plumbing-fixes-for-common-household-problems/,/blog/,True,P2,B · Retire to /blog/
/here-is-a-fully-optimized-1000-word-blog-post-for/,https://zandzplumbing.com/here-is-a-fully-optimized-1000-word-blog-post-for/,0,730,26.35,INDEXED,/blog/here-is-a-fully-optimized-1000-word-blog-post-for/,/blog/,False,P2,B · Retire to /blog/
/hire-a-professional-plumber/,https://zandzplumbing.com/hire-a-professional-plumber/,0,44,11.02,INDEXED,/blog/hire-a-professional-plumber/,/blog/hire-a-professional-plumber/,False,P2,A2 · Migrate (301 to new-site URL)
/how-to-prevent-drain-clogs-expert-advice-from-z-and-z-plumbing/,https://zandzplumbing.com/how-to-prevent-drain-clogs-expert-advice-from-z-and-z-plumbing/,0,11,10.55,INDEXED,/blog/how-to-prevent-drain-clogs-expert-advice-from-z-and-z-plumbing/,/blog/how-to-prevent-drain-clogs-expert-advice-from-z-and-z-plumbing/,False,P2,A2 · Migrate (301 to new-site URL)
/how-to-save-money-on-your-water-bill-with-simple-plumbing-upgrades/,https://zandzplumbing.com/how-to-save-money-on-your-water-bill-with-simple-plumbing-upgrades/,0,133,33.23,INDEXED,/blog/how-to-save-money-on-your-water-bill-with-simple-plumbing-upgrades/,/blog/how-to-save-money-on-your-water-bill-with-simple-plumbing-upgrades/,False,P2,A2 · Migrate (301 to new-site URL)
/how-trenchless-sewer-replacement-saves-time-and-money-in-oakland-ca/,https://zandzplumbing.com/how-trenchless-sewer-replacement-saves-time-and-money-in-oakland-ca/,0,1854,13.38,INDEXED,/blog/how-trenchless-sewer-replacement-saves-time-and-money-in-oakland-ca/,/sewer-lateral-oakland/,False,P2,A2 · Migrate (301 to new-site URL)
/is-your-water-heater-on-the-fritz-top-reasons-to-call-for-a-repair/,https://zandzplumbing.com/is-your-water-heater-on-the-fritz-top-reasons-to-call-for-a-repair/,0,4,9.25,DISCOVERED_NOT_INDEXED,/blog/is-your-water-heater-on-the-fritz-top-reasons-to-call-for-a-repair/,/blog/,False,P2,B · Retire to /blog/
/leak-detection-how-to-spot-and-address-plumbing-leaks-early/,https://zandzplumbing.com/leak-detection-how-to-spot-and-address-plumbing-leaks-early/,0,900,49.6,INDEXED,/blog/leak-detection-how-to-spot-and-address-plumbing-leaks-early/,/blog/leak-detection-how-to-spot-and-address-plumbing-leaks-early/,False,P2,A2 · Migrate (301 to new-site URL)
/oakland-clogged-drain-repair/,https://zandzplumbing.com/oakland-clogged-drain-repair/,0,5506,22.84,INDEXED,/blog/oakland-clogged-drain-repair/,/drain-cleaning-oakland/,False,P2,A2 · Migrate (301 to new-site URL)
/10-common-causes-of-clogged-drains-you-need-to-know/,https://zandzplumbing.com/10-common-causes-of-clogged-drains-you-need-to-know/,0,4,11.5,DISCOVERED_NOT_INDEXED,/blog/10-common-causes-of-clogged-drains-you-need-to-know/,/blog/,False,P2,B · Retire to /blog/
/z-and-z-plumbing-red/,https://zandzplumbing.com/z-and-z-plumbing-red/,0,194,75.32,DISCOVERED_NOT_INDEXED,/blog/z-and-z-plumbing-red/,/blog/,False,P2,B · Retire to /blog/
/5-problems-that-are-a-plumbing-emergency-and-how-to-avoid-them/,https://zandzplumbing.com/5-problems-that-are-a-plumbing-emergency-and-how-to-avoid-them/,0,0,,DISCOVERED_NOT_INDEXED,/blog/,/blog/,False,P3,B · Retire to /blog/
/5-reasons-your-sewer-line-gets-clogged/,https://zandzplumbing.com/5-reasons-your-sewer-line-gets-clogged/,0,0,,DISCOVERED_NOT_INDEXED,/blog/,/blog/,False,P3,B · Retire to /blog/
/emergency-plumbing-services-what-to-do-when-you-need-a-plumber-asap/,https://zandzplumbing.com/emergency-plumbing-services-what-to-do-when-you-need-a-plumber-asap/,0,0,,DISCOVERED_NOT_INDEXED,/blog/,/blog/,False,P3,B · Retire to /blog/
/the-ultimate-guide-to-drain-cleaning-tips-and-tricks-for-a-clog-free-home/,https://zandzplumbing.com/the-ultimate-guide-to-drain-cleaning-tips-and-tricks-for-a-clog-free-home/,0,0,,DISCOVERED_NOT_INDEXED,/blog/,/blog/,False,P3,B · Retire to /blog/
/unclog-drains/,https://zandzplumbing.com/unclog-drains/,0,0,,DISCOVERED_NOT_INDEXED,/blog/,/blog/,False,P3,B · Retire to /blog/
/3-simple-ways-to-clean-your-garbage-disposal/,https://zandzplumbing.com/3-simple-ways-to-clean-your-garbage-disposal/,0,0,,DISCOVERED_NOT_INDEXED,/blog/,/blog/,False,P3,B · Retire to /blog/
